timestamp,factory_id,turbidity_ntu,ph,conductivity_us_cm,chromium_mg_l,copper_mg_l,tds_mg_l
2026-01-21 20:50:57,CH-1,214.02,5.66,3144.69,1.43,0.42,2711.98
2026-01-21 20:50:57,CH-2,202.84,6.39,3544.18,1.19,0.68,4128.99
2026-01-21 20:50:57,TX-A,265.10,8.08,1957.88,0.47,0.23,2199.79
2026-01-21 20:50:57,TX-B,389.36,7.17,2714.92,0.45,0.33,2057.88
2026-01-21 20:50:57,TX-C,347.68,7.78,3446.66,0.42,0.13,2288.26
2026-01-21 20:50:58,CH-1,233.86,6.47,3960.00,1.34,0.71,3985.31
2026-01-21 20:50:58,CH-2,213.11,6.57,3846.42,0.96,0.47,1992.18
2026-01-21 20:50:58,TX-A,274.79,8.72,3309.08,0.37,0.25,1603.92
2026-01-21 20:50:58,TX-B,431.63,7.42,1810.40,0.39,0.34,2710.08
2026-01-21 20:50:58,TX-C,245.17,6.62,2702.99,0.44,0.35,1796.15
2026-01-21 20:50:59,CH-1,181.98,5.13,2056.49,1.63,0.43,2133.09
2026-01-21 20:50:59,CH-2,237.49,5.82,4545.25,0.54,0.64,3119.23
2026-01-21 20:50:59,TX-A,270.01,8.99,1914.51,0.33,0.42,2265.07
2026-01-21 20:50:59,TX-B,308.83,7.75,2737.26,0.43,0.23,2248.93
2026-01-21 20:50:59,TX-C,335.85,7.70,3511.22,0.26,0.28,1808.00
2026-01-21 20:51:00,CH-1,146.89,6.81,3715.99,0.65,0.64,3124.15
2026-01-21 20:51:00,CH-2,207.77,5.99,1904.59,1.28,0.53,1504.32
2026-01-21 20:51:00,TX-A,185.20,9.53,2041.13,0.50,0.34,2764.30
2026-01-21 20:51:00,TX-B,236.89,9.24,2504.05,0.61,0.22,1795.66
2026-01-21 20:51:00,TX-C,433.33,8.59,2764.20,0.70,0.25,2362.38
2026-01-21 20:51:01,CH-1,204.34,7.67,3323.70,0.65,0.80,2354.85
2026-01-21 20:51:01,CH-2,305.13,6.44,4128.79,1.15,0.66,3301.45
2026-01-21 20:51:01,TX-A,440.89,7.82,2671.81,0.69,0.23,2483.88
2026-01-21 20:51:01,TX-B,362.06,8.50,2100.95,0.69,0.40,1960.50
2026-01-21 20:51:01,TX-C,304.49,6.95,2583.17,0.43,0.23,2168.49
2026-01-21 20:51:02,CH-1,187.33,6.88,3157.38,1.01,0.57,3591.74
2026-01-21 20:51:02,CH-2,243.01,6.77,4615.95,1.68,0.72,2972.45
2026-01-21 20:51:02,TX-A,371.70,5.33,2647.53,0.55,0.28,1989.26
2026-01-21 20:51:02,TX-B,288.34,6.81,2716.45,0.69,0.30,2381.46
2026-01-21 20:51:02,TX-C,339.47,7.39,1819.15,0.61,0.26,1772.62
2026-01-21 20:51:03,CH-1,209.20,5.19,3240.19,1.59,0.57,4211.40
2026-01-21 20:51:03,CH-2,206.48,5.18,4029.08,1.61,0.47,4130.91
2026-01-21 20:51:03,TX-A,282.30,8.91,3254.22,0.56,0.30,2346.09
2026-01-21 20:51:03,TX-B,366.64,8.68,3408.15,0.43,0.28,1952.50
2026-01-21 20:51:03,TX-C,346.63,7.46,3639.56,0.35,0.27,1721.39
2026-01-21 20:51:04,CH-1,306.22,5.63,3746.32,1.15,0.74,2530.60
2026-01-21 20:51:04,CH-2,83.82,5.51,2848.12,1.21,0.62,3913.83
2026-01-21 20:51:04,TX-A,486.58,9.07,2403.04,0.53,0.32,1667.61
2026-01-21 20:51:04,TX-B,358.08,7.34,2804.26,0.42,0.27,1992.25
2026-01-21 20:51:04,TX-C,400.00,7.80,1884.93,0.34,0.27,2306.72
2026-01-21 20:51:05,CH-1,193.77,6.13,2360.78,1.28,0.32,2615.03
2026-01-21 20:51:05,CH-2,218.20,5.16,2867.71,2.04,0.62,3687.82
2026-01-21 20:51:05,TX-A,279.38,7.87,2852.14,0.39,0.22,2579.20
2026-01-21 20:51:05,TX-B,292.70,7.82,3448.49,0.43,0.21,2117.49
2026-01-21 20:51:05,TX-C,294.20,8.09,2444.96,0.41,0.37,2532.08
2026-01-21 20:51:06,CH-1,155.52,6.54,4499.03,1.86,0.66,3241.31
