timestamp,reading_id,factory_id,factory_type,location_km_from_origin,flow_rate_m3ph,turbidity_ntu,ph,conductivity_us_cm,temperature_c,chromium_mg_l,copper_mg_l,tds_mg_l,uv_vis_absorbance,baseline_segment_id,is_baseline,is_violation,violation_reason,ai_violation_score,assigned_employee_id,alert_status
2026-01-01T00:00:00,R-000001,TX-A,Textile,8,85.7,394.33,5.22,1759.37,38.41,0.024,0.369,1233.52,1.939,,0,1,turbidity_high|ph_low|uv_absorbance_high,0.756,EMP-002,resolved
2026-01-01T00:00:00,R-000002,TX-B,Textile,15,63.38,372.18,9.73,3286.66,35.59,0.082,0.03,1611.62,0.41,,0,1,turbidity_high|ph_high,0.706,EMP-001,resolved
2026-01-01T00:00:00,R-000003,CH-1,Chemical,12,63.3,296.73,3.56,3703.42,30.18,1.11,0.355,3450.68,2.58,,0,1,turbidity_high|ph_low|chromium_high|tds_high|uv_absorbance_high,0.723,EMP-001,resolved
2026-01-01T00:05:00,R-000004,TX-A,Textile,8,122.36,427.18,6.57,1702.95,33.76,0.459,0.476,2830.54,1.685,,0,1,turbidity_high|chromium_high|tds_high|uv_absorbance_high,0.858,EMP-004,resolved
2026-01-01T00:05:00,R-000005,CH-1,Chemical,12,143.74,242.08,8.36,5390.92,40.42,0.311,0.722,1259.38,0.957,,0,1,turbidity_high|chromium_high,0.766,EMP-004,resolved
2026-01-01T00:05:00,R-000006,CH-2,Chemical,30,132.71,229.25,9.94,2542.19,42.92,1.574,0.78,4589.21,0.781,,0,1,turbidity_high|ph_high|chromium_high|tds_high,0.808,EMP-005,resolved
2026-01-01T00:10:00,R-000007,TX-A,Textile,8,119.04,211.1,5.45,2296.29,38.73,0.755,0.198,2048.24,1.671,,0,1,turbidity_high|ph_low|chromium_high|uv_absorbance_high,0.941,EMP-004,resolved
2026-01-01T00:10:00,R-000008,TX-B,Textile,15,55.59,276.0,10.08,1430.91,27.49,0.945,0.208,1106.82,0.926,,0,1,turbidity_high|ph_high|chromium_high,0.829,EMP-005,resolved
2026-01-01T00:10:00,R-000009,TX-C,Textile,25,60.52,429.55,8.0,3526.13,29.39,0.758,0.369,3349.8,1.71,,0,1,turbidity_high|chromium_high|tds_high|uv_absorbance_high,0.778,EMP-004,resolved
2026-01-01T00:10:00,R-000010,CH-1,Chemical,12,79.42,109.13,8.82,1955.11,44.24,1.68,0.208,2594.44,1.466,,0,1,chromium_high|tds_high|uv_absorbance_high,0.795,EMP-004,resolved
2026-01-01T00:10:00,R-000011,CH-2,Chemical,30,145.18,245.43,3.9,1911.12,30.11,2.0,0.608,3573.94,1.497,,0,1,turbidity_high|ph_low|chromium_high|tds_high|uv_absorbance_high,0.851,EMP-004,resolved
2026-01-01T00:15:00,R-000012,TX-A,Textile,8,146.99,321.51,9.55,3625.44,33.03,0.208,0.419,3127.53,0.605,,0,1,turbidity_high|ph_high|chromium_high|tds_high,0.92,EMP-005,resolved
